ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
ENSG00000010671,Tier 1,BTK,X,100604435,100641183,-1,Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:1133],0,Y,N,N
ENSG00000010810,Tier 1,FYN,6,111981535,112194655,-1,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1,Y,N,N
ENSG00000010932,Tier 1,FMO1,1,171217638,171255117,1,flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:3769],0,N,N,Y
ENSG00000011566,Tier 1,MAP4K3,2,39476407,39664453,-1,mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:6865],0,Y,N,N
ENSG00000011677,Tier 1,GABRA3,X,151334706,151619830,-1,"gamma-aminobutyric acid (GABA) A receptor, alpha 3 [Source:HGNC Symbol;Acc:4077]",0,Y,Y,N
ENSG00000012124,Tier 1,CD22,19,35810164,35838258,1,CD22 molecule [Source:HGNC Symbol;Acc:1643],0,N,Y,N
ENSG00000012504,Tier 1,NR1H4,12,100867486,100958191,1,"nuclear receptor subfamily 1, group H, member 4 [Source:HGNC Symbol;Acc:7967]",0,Y,N,N
ENSG00000012779,Tier 1,ALOX5,10,45869661,45941561,1,arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:435],6,Y,N,N
ENSG00000012983,Tier 1,MAP4K5,14,50885219,51027844,-1,mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:6867],0,Y,N,N
ENSG00000013441,Tier 1,CLK1,2,201717732,201729422,-1,CDC-like kinase 1 [Source:HGNC Symbol;Acc:2068],0,Y,N,N
ENSG00000013725,Tier 1,CD6,11,60739115,60787849,1,CD6 molecule [Source:HGNC Symbol;Acc:1691],3,N,Y,N
ENSG00000015413,Tier 1,DPEP1,16,89679716,89704839,1,dipeptidase 1 (renal) [Source:HGNC Symbol;Acc:3002],20,Y,Y,Y
ENSG00000015520,Tier 1,NPC1L1,7,44552134,44580914,-1,NPC1-like 1 [Source:HGNC Symbol;Acc:7898],4,Y,N,N
ENSG00000016490,Tier 1,CLCA1,1,86934051,86965972,1,chloride channel accessory 1 [Source:HGNC Symbol;Acc:2015],0,Y,Y,N
ENSG00000016602,Tier 1,CLCA4,1,87012761,87046437,1,chloride channel accessory 4 [Source:HGNC Symbol;Acc:2018],0,Y,Y,N
ENSG00000017427,Tier 1,IGF1,12,102789645,102874423,-1,insulin-like growth factor 1 (somatomedin C) [Source:HGNC Symbol;Acc:5464],8,N,Y,N
ENSG00000018625,Tier 1,ATP1A2,1,160085549,160113381,1,"ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:800]",0,Y,N,N
ENSG00000019186,Tier 1,CYP24A1,20,52769988,52790512,-1,"cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2602]",2,Y,N,Y
ENSG00000019582,Tier 1,CD74,5,149781200,149792492,-1,"CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:1697]",0,N,Y,N
ENSG00000019991,Tier 1,HGF,7,81328322,81399754,-1,hepatocyte growth factor (hepapoietin A; scatter factor) [Source:HGNC Symbol;Acc:4893],0,Y,Y,N
ENSG00000021461,Tier 1,CYP3A43,7,99425636,99463718,1,"cytochrome P450, family 3, subfamily A, polypeptide 43 [Source:HGNC Symbol;Acc:17450]",2,Y,N,Y
ENSG00000021826,Tier 1,CPS1,2,211342406,211543831,1,"carbamoyl-phosphate synthase 1, mitochondrial [Source:HGNC Symbol;Acc:2323]",17,Y,N,N
ENSG00000022355,Tier 1,GABRA1,5,161274197,161326975,1,"gamma-aminobutyric acid (GABA) A receptor, alpha 1 [Source:HGNC Symbol;Acc:4075]",0,Y,Y,N
ENSG00000023445,Tier 1,BIRC3,11,102188215,102210134,1,baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:591],0,Y,N,N
ENSG00000023839,Tier 1,ABCC2,10,101542489,101611949,1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2 [Source:HGNC Symbol;Acc:53]",0,Y,Y,Y
ENSG00000026025,Tier 1,VIM,10,17270258,17279592,1,vimentin [Source:HGNC Symbol;Acc:12692],1,N,Y,N
ENSG00000026508,Tier 1,CD44,11,35160417,35253949,1,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:1681],1,N,Y,N
ENSG00000026751,Tier 1,SLAMF7,1,160709037,160724611,1,SLAM family member 7 [Source:HGNC Symbol;Acc:21394],0,N,Y,N
ENSG00000027075,Tier 1,PRKCH,14,61654277,62017694,1,"protein kinase C, eta [Source:HGNC Symbol;Acc:9403]",3,Y,N,N
ENSG00000027697,Tier 1,IFNGR1,6,137518621,137540586,-1,interferon gamma receptor 1 [Source:HGNC Symbol;Acc:5439],0,N,Y,N
ENSG00000028116,Tier 1,VRK2,2,58134786,58387055,1,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:12719],2,Y,N,N
ENSG00000030304,Tier 1,MUSK,9,113431051,113563859,1,"muscle, skeletal, receptor tyrosine kinase [Source:HGNC Symbol;Acc:7525]",0,Y,Y,N
ENSG00000034152,Tier 1,MAP2K3,17,21187984,21218552,1,mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:6843],0,Y,N,N
ENSG00000035664,Tier 1,DAPK2,15,64199235,64364232,-1,death-associated protein kinase 2 [Source:HGNC Symbol;Acc:2675],0,Y,N,N
ENSG00000036530,Tier 1,CYP46A1,14,100150641,100193638,1,"cytochrome P450, family 46, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2641]",1,Y,N,Y
ENSG00000036828,Tier 1,CASR,3,121902530,122005342,1,calcium-sensing receptor [Source:HGNC Symbol;Acc:1514],4,Y,Y,N
ENSG00000037280,Tier 1,FLT4,5,180028506,180076624,-1,fms-related tyrosine kinase 4 [Source:HGNC Symbol;Acc:3767],0,Y,Y,N
ENSG00000041982,Tier 1,TNC,9,117782806,117880536,-1,tenascin C [Source:HGNC Symbol;Acc:5318],0,N,Y,N
ENSG00000042088,Tier 1,TDP1,14,90421283,90511106,1,tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:18884],0,Y,N,N
ENSG00000043591,Tier 1,ADRB1,10,115803806,115806667,1,adrenoceptor beta 1 [Source:HGNC Symbol;Acc:285],1,Y,Y,N
ENSG00000044524,Tier 1,EPHA3,3,89156674,89531284,1,EPH receptor A3 [Source:HGNC Symbol;Acc:3387],2,Y,Y,N
ENSG00000047936,Tier 1,ROS1,6,117609463,117747018,-1,"c-ros oncogene 1 , receptor tyrosine kinase [Source:HGNC Symbol;Acc:10261]",1,Y,N,N
ENSG00000048052,Tier 1,HDAC9,7,18126572,19042039,1,histone deacetylase 9 [Source:HGNC Symbol;Acc:14065],6,Y,N,N
ENSG00000049249,Tier 1,TNFRSF9,1,7979907,8000926,-1,"tumor necrosis factor receptor superfamily, member 9 [Source:HGNC Symbol;Acc:11924]",2,N,Y,N
ENSG00000049319,Tier 1,SRD5A2,2,31747550,31806136,-1,"steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2) [Source:HGNC Symbol;Acc:11285]",4,Y,N,N
ENSG00000050555,Tier 1,LAMC3,9,133884469,133969860,1,"laminin, gamma 3 [Source:HGNC Symbol;Acc:6494]",0,N,Y,N
ENSG00000050628,Tier 1,PTGER3,1,71318036,71513491,-1,prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595],0,Y,N,N
ENSG00000050748,Tier 1,MAPK9,5,179660143,179719099,-1,mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:6886],1,Y,N,N
ENSG00000051382,Tier 1,PIK3CB,3,138372860,138553780,-1,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta [Source:HGNC Symbol;Acc:8976]",0,Y,N,N
ENSG00000053747,Tier 1,LAMA3,18,21269407,21535030,1,"laminin, alpha 3 [Source:HGNC Symbol;Acc:6483]",0,N,Y,N
ENSG00000053918,Tier 1,KCNQ1,11,2465914,2870339,1,"potassium voltage-gated channel, KQT-like subfamily, member 1 [Source:HGNC Symbol;Acc:6294]",21,Y,N,N
ENSG00000055118,Tier 1,KCNH2,7,150642049,150675403,-1,"potassium voltage-gated channel, subfamily H (eag-related), member 2 [Source:HGNC Symbol;Acc:6251]",6,Y,N,N
ENSG00000057593,Tier 1,F7,13,113760105,113774995,1,coagulation factor VII (serum prothrombin conversion accelerator) [Source:HGNC Symbol;Acc:3544],6,Y,Y,N
ENSG00000058085,Tier 1,LAMC2,1,183155373,183214035,1,"laminin, gamma 2 [Source:HGNC Symbol;Acc:6493]",0,N,Y,N
ENSG00000058404,Tier 1,CAMK2B,7,44256749,44374176,-1,calcium/calmodulin-dependent protein kinase II beta [Source:HGNC Symbol;Acc:1461],15,Y,N,N
ENSG00000058729,Tier 1,RIOK2,5,96496571,96518964,-1,RIO kinase 2 [Source:HGNC Symbol;Acc:18999],0,Y,N,N
ENSG00000059377,Tier 1,TBXAS1,7,139476850,139720125,1,thromboxane A synthase 1 (platelet) [Source:HGNC Symbol;Acc:11609],0,Y,N,N
ENSG00000061273,Tier 1,HDAC7,12,48176505,48226915,-1,histone deacetylase 7 [Source:HGNC Symbol;Acc:14067],1,Y,N,N
ENSG00000061918,Tier 1,GUCY1B3,4,156680144,156728743,1,"guanylate cyclase 1, soluble, beta 3 [Source:HGNC Symbol;Acc:4687]",0,Y,N,N
ENSG00000061938,Tier 1,TNK2,3,195590235,195638816,-1,"tyrosine kinase, non-receptor, 2 [Source:HGNC Symbol;Acc:19297]",0,Y,N,N
ENSG00000062038,Tier 1,CDH3,16,68670092,68756519,1,"cadherin 3, type 1, P-cadherin (placental) [Source:HGNC Symbol;Acc:1762]",4,N,Y,N
ENSG00000062524,Tier 1,LTK,15,41795836,41806085,-1,leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:6721],0,Y,N,N
ENSG00000062822,Tier 1,POLD1,19,50887461,50921273,1,"polymerase (DNA directed), delta 1, catalytic subunit [Source:HGNC Symbol;Acc:9175]",0,Y,N,N
ENSG00000063854,Tier 1,HAGH,16,1845621,1877195,-1,hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:4805],2,N,N,Y
ENSG00000064012,Tier 1,CASP8,2,202098166,202152434,1,"caspase 8, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1509]",5,Y,N,N
ENSG00000064300,Tier 1,NGFR,17,47572655,47592379,1,nerve growth factor receptor [Source:HGNC Symbol;Acc:7809],0,Y,Y,N
ENSG00000064393,Tier 1,HIPK2,7,139246316,139477577,-1,homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:14402],0,Y,N,N
ENSG00000064547,Tier 1,LPAR2,19,19734477,19739739,-1,lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:3168],16,Y,N,N
ENSG00000064989,Tier 1,CALCRL,2,188207856,188313187,-1,calcitonin receptor-like [Source:HGNC Symbol;Acc:16709],0,Y,Y,N
ENSG00000065243,Tier 1,PKN2,1,89149905,89301938,1,protein kinase N2 [Source:HGNC Symbol;Acc:9406],2,Y,N,N
ENSG00000065325,Tier 1,GLP2R,17,9725523,9795419,1,glucagon-like peptide 2 receptor [Source:HGNC Symbol;Acc:4325],0,N,Y,N
ENSG00000065361,Tier 1,ERBB3,12,56473641,56497289,1,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 [Source:HGNC Symbol;Acc:3431],17,Y,Y,N
ENSG00000065534,Tier 1,MYLK,3,123328896,123603178,-1,myosin light chain kinase [Source:HGNC Symbol;Acc:7590],0,Y,N,N
ENSG00000065559,Tier 1,MAP2K4,17,11924141,12047147,1,mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:6844],0,Y,N,N
ENSG00000065613,Tier 1,SLK,10,105726959,105788991,1,STE20-like kinase [Source:HGNC Symbol;Acc:11088],1,Y,N,N
ENSG00000065621,Tier 1,GSTO2,10,106028631,106064703,1,glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:23064],1,N,N,Y
ENSG00000065675,Tier 1,PRKCQ,10,6469105,6622263,-1,"protein kinase C, theta [Source:HGNC Symbol;Acc:9410]",1,Y,N,N
ENSG00000065883,Tier 1,CDK13,7,39989636,40136733,1,cyclin-dependent kinase 13 [Source:HGNC Symbol;Acc:1733],0,Y,N,N
ENSG00000065989,Tier 1,PDE4A,19,10527449,10580305,1,"phosphodiesterase 4A, cAMP-specific [Source:HGNC Symbol;Acc:8780]",5,Y,N,N
ENSG00000066056,Tier 1,TIE1,1,43766664,43788779,1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1 [Source:HGNC Symbol;Acc:11809],0,Y,Y,N
ENSG00000066230,Tier 1,SLC9A3,5,473425,524447,-1,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 [Source:HGNC Symbol;Acc:11073]",4,Y,N,N
ENSG00000066405,Tier 1,CLDN18,3,137717577,137752494,1,claudin 18 [Source:HGNC Symbol;Acc:2039],0,N,Y,N
ENSG00000066468,Tier 1,FGFR2,10,123237848,123357972,-1,fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:3689],10,Y,Y,N
ENSG00000067182,Tier 1,TNFRSF1A,12,6437923,6451280,-1,"tumor necrosis factor receptor superfamily, member 1A [Source:HGNC Symbol;Acc:11916]",3,Y,Y,N
ENSG00000067225,Tier 1,PKM,15,72491370,72524164,-1,"pyruvate kinase, muscle [Source:HGNC Symbol;Acc:9021]",1,Y,N,N
ENSG00000067606,Tier 1,PRKCZ,1,1981909,2116834,1,"protein kinase C, zeta [Source:HGNC Symbol;Acc:9412]",1,Y,N,N
ENSG00000067900,Tier 1,ROCK1,18,18526867,18691812,-1,"Rho-associated, coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:10251]",0,Y,N,N
ENSG00000068024,Tier 1,HDAC4,2,239969864,240323348,-1,histone deacetylase 4 [Source:HGNC Symbol;Acc:14063],0,Y,N,N
ENSG00000068078,Tier 1,FGFR3,4,1795034,1810599,1,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:3690],0,Y,Y,N
ENSG00000069431,Tier 1,ABCC9,12,21950335,22094336,-1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:HGNC Symbol;Acc:60]",1,Y,N,Y
ENSG00000069535,Tier 1,MAOB,X,43625858,43741693,-1,monoamine oxidase B [Source:HGNC Symbol;Acc:6834],0,Y,N,Y
ENSG00000069696,Tier 1,DRD4,11,637293,640706,1,dopamine receptor D4 [Source:HGNC Symbol;Acc:3025],0,Y,N,N
ENSG00000069764,Tier 1,PLA2G10,16,14766405,14788526,-1,"phospholipase A2, group X [Source:HGNC Symbol;Acc:9029]",0,Y,Y,N
ENSG00000070019,Tier 1,GUCY2C,12,14765576,14849519,-1,guanylate cyclase 2C (heat stable enterotoxin receptor) [Source:HGNC Symbol;Acc:4688],0,Y,Y,N
ENSG00000070748,Tier 1,CHAT,10,50817141,50901925,1,choline O-acetyltransferase [Source:HGNC Symbol;Acc:1912],0,Y,N,N
ENSG00000070808,Tier 1,CAMK2A,5,149599054,149669854,-1,calcium/calmodulin-dependent protein kinase II alpha [Source:HGNC Symbol;Acc:1460],0,Y,N,N
ENSG00000070886,Tier 1,EPHA8,1,22890057,22930087,1,EPH receptor A8 [Source:HGNC Symbol;Acc:3391],0,Y,N,N
ENSG00000070915,Tier 1,SLC12A3,16,56899119,56949762,1,"solute carrier family 12 (sodium/chloride transporter), member 3 [Source:HGNC Symbol;Acc:10912]",0,Y,N,N
ENSG00000071054,Tier 1,MAP4K4,2,102313312,102511149,1,mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:6866],0,Y,N,N
ENSG00000071242,Tier 1,RPS6KA2,6,166822852,167319939,-1,"ribosomal protein S6 kinase, 90kDa, polypeptide 2 [Source:HGNC Symbol;Acc:10431]",0,Y,N,N
ENSG00000072062,Tier 1,PRKACA,19,14202500,14228896,-1,"protein kinase, cAMP-dependent, catalytic, alpha [Source:HGNC Symbol;Acc:9380]",0,Y,N,N
ENSG00000072133,Tier 1,RPS6KA6,X,83318984,83442933,-1,"ribosomal protein S6 kinase, 90kDa, polypeptide 6 [Source:HGNC Symbol;Acc:10435]",0,Y,N,N
ENSG00000072210,Tier 1,ALDH3A2,17,19551449,19580911,1,"aldehyde dehydrogenase 3 family, member A2 [Source:HGNC Symbol;Acc:403]",0,N,N,Y
ENSG00000072274,Tier 1,TFRC,3,195754054,195809060,-1,transferrin receptor [Source:HGNC Symbol;Acc:11763],4,N,Y,N
ENSG00000072506,Tier 1,HSD17B10,X,53458206,53461320,-1,hydroxysteroid (17-beta) dehydrogenase 10 [Source:HGNC Symbol;Acc:4800],0,Y,N,N
ENSG00000072518,Tier 1,MARK2,11,63606400,63678491,1,MAP/microtubule affinity-regulating kinase 2 [Source:HGNC Symbol;Acc:3332],0,Y,N,N
ENSG00000072694,Tier 1,FCGR2B,1,161551101,161648444,1,"Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:HGNC Symbol;Acc:3618]",2,N,Y,N
ENSG00000072786,Tier 1,STK10,5,171469077,171615390,-1,serine/threonine kinase 10 [Source:HGNC Symbol;Acc:11388],0,Y,N,N
ENSG00000073417,Tier 1,PDE8A,15,85523671,85682376,1,phosphodiesterase 8A [Source:HGNC Symbol;Acc:8793],0,Y,N,N
ENSG00000073734,Tier 1,ABCB11,2,169779448,169887832,-1,"ATP-binding cassette, sub-family B (MDR/TAP), member 11 [Source:HGNC Symbol;Acc:42]",18,N,N,Y
ENSG00000073737,Tier 1,DHRS9,2,169921299,169952677,1,dehydrogenase/reductase (SDR family) member 9 [Source:HGNC Symbol;Acc:16888],0,N,N,Y
ENSG00000073756,Tier 1,PTGS2,1,186640923,186649559,-1,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) [Source:HGNC Symbol;Acc:9605],0,Y,N,N
ENSG00000073803,Tier 1,MAP3K13,3,185000729,185206885,1,mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:6852],0,Y,N,N
ENSG00000074319,Tier 1,TSG101,11,18489883,18548779,-1,tumor susceptibility 101 [Source:HGNC Symbol;Acc:15971],0,N,Y,N
ENSG00000074410,Tier 1,CA12,15,63613577,63674360,-1,carbonic anhydrase XII [Source:HGNC Symbol;Acc:1371],0,Y,N,N
ENSG00000074590,Tier 1,NUAK1,12,106457118,106533811,-1,"NUAK family, SNF1-like kinase, 1 [Source:HGNC Symbol;Acc:14311]",0,Y,N,N
ENSG00000074803,Tier 1,SLC12A1,15,48483861,48596275,1,"solute carrier family 12 (sodium/potassium/chloride transporter), member 1 [Source:HGNC Symbol;Acc:10910]",1,Y,N,N
ENSG00000074966,Tier 1,TXK,4,48068410,48136273,-1,TXK tyrosine kinase [Source:HGNC Symbol;Acc:12434],0,Y,N,N
ENSG00000075043,Tier 1,KCNQ2,20,62037542,62103993,-1,"potassium voltage-gated channel, KQT-like subfamily, member 2 [Source:HGNC Symbol;Acc:6296]",0,Y,N,N
ENSG00000075073,Tier 1,TACR2,10,71163659,71176623,-1,tachykinin receptor 2 [Source:HGNC Symbol;Acc:11527],0,Y,Y,N
ENSG00000075388,Tier 1,FGF4,11,69587797,69590171,-1,fibroblast growth factor 4 [Source:HGNC Symbol;Acc:3682],0,Y,Y,N
ENSG00000075413,Tier 1,MARK3,14,103851729,103970168,1,MAP/microtubule affinity-regulating kinase 3 [Source:HGNC Symbol;Acc:6897],2,Y,N,N
ENSG00000075651,Tier 1,PLD1,3,171318195,171528740,-1,"phospholipase D1, phosphatidylcholine-specific [Source:HGNC Symbol;Acc:9067]",0,Y,N,N
ENSG00000076258,Tier 1,FMO4,1,171283347,171311223,1,flavin containing monooxygenase 4 [Source:HGNC Symbol;Acc:3772],0,N,N,Y
ENSG00000076662,Tier 1,ICAM3,19,10444452,10450499,-1,intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:5346],4,N,Y,N
ENSG00000076706,Tier 1,MCAM,11,119179241,119192231,-1,melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:6934],1,N,Y,N
ENSG00000076984,Tier 1,MAP2K7,19,7968728,7979363,1,mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:6847],0,Y,N,N
ENSG00000077092,Tier 1,RARB,3,25215823,25639423,1,"retinoic acid receptor, beta [Source:HGNC Symbol;Acc:9865]",2,Y,N,N
ENSG00000077097,Tier 1,TOP2B,3,25639475,25706398,-1,topoisomerase (DNA) II beta 180kDa [Source:HGNC Symbol;Acc:11990],0,Y,N,N
ENSG00000077238,Tier 1,IL4R,16,27324989,27376099,1,interleukin 4 receptor [Source:HGNC Symbol;Acc:6015],0,N,Y,N
ENSG00000077264,Tier 1,PAK3,X,110187513,110470589,1,p21 protein (Cdc42/Rac)-activated kinase 3 [Source:HGNC Symbol;Acc:8592],0,Y,N,N
ENSG00000077498,Tier 1,TYR,11,88910620,89028927,1,tyrosinase [Source:HGNC Symbol;Acc:12442],11,Y,N,N
ENSG00000077782,Tier 1,FGFR1,8,38268656,38326352,-1,fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:3688],1,Y,Y,N
ENSG00000078098,Tier 1,FAP,2,163027194,163101661,-1,"fibroblast activation protein, alpha [Source:HGNC Symbol;Acc:3590]",0,Y,Y,N
