protein_ref,symbol,annotation,number_of_ubiquitination_sites,4x_Btz_rep1-4 Sp. Counts,Btz_Epox Sp. Counts,Usp2cc Sp. Counts,Btz_timepoints Sp. Counts,Btz_CHX Sp. Counts,SILAC_Chase_GG Sp. Counts,MLN_timepoints Sp. Counts,Btz_MLN_1st Sp. Counts,Btz_MLN_2nd Sp. Counts,CST_GG_PullDowns Sp. Counts
IPI:IPI00000764.3,PLEKHM1,Pleckstrin homology domain-containing family M member 1,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00000769.2,KIF22,Kinesin-like protein KIF22,4,4,0,0,0,6,4,0,5,0,0
IPI:IPI00000784.1,MEF2D,Isoform MEF2DAB of Myocyte-specific enhancer factor 2D,1,1,0,1,0,0,0,0,2,0,0
IPI:IPI00000792.1,CRYZ,Quinone oxidoreductase,2,1,1,0,1,3,0,0,0,2,0
IPI:IPI00000811.2,PSMB6,Proteasome subunit beta type-6,2,108,61,17,56,66,3,3,67,56,1
IPI:IPI00000816.1,YWHAE,14-3-3 protein epsilon,10,184,137,21,171,161,84,211,136,77,17
IPI:IPI00000846.1,CHD4,Isoform 1 of Chromodomain-helicase-DNA-binding protein 4,9,24,28,1,5,17,9,13,14,4,7
IPI:IPI00000861.1,LASP1,Isoform 1 of LIM and SH3 domain protein 1,4,0,0,0,2,0,2,2,2,0,0
IPI:IPI00000873.3,VARS,Valyl-tRNA synthetase,10,45,21,5,11,15,13,8,13,7,2
IPI:IPI00000874.1,PRDX1,Peroxiredoxin-1,7,116,88,5,44,128,18,91,95,26,1
IPI:IPI00000875.7,EEF1G,"cDNA FLJ56389, highly similar to Elongation factor 1-gamma",6,39,35,2,32,51,9,25,29,14,11
IPI:IPI00000877.1,HYOU1,Hypoxia up-regulated protein 1,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00000897.3,HELZ,HELZ protein,1,4,6,0,0,3,0,0,3,0,0
IPI:IPI00000898.4,POLE,Putative uncharacterized protein DKFZp434F222,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00000948.3,TBL2,Transducin beta-like protein 2,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00000980.1,TOMM7,Mitochondrial import receptor subunit TOM7 homolog,1,5,0,0,0,0,1,0,0,0,3
IPI:IPI00001007.1,MSI1,RNA-binding protein Musashi homolog 1,1,1,1,0,0,1,1,0,1,3,0
IPI:IPI00001098.2,OSBPL2,Oxysterol-binding protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00001117.1,IPP,Actin-binding protein IPP,4,23,27,0,4,10,0,0,9,4,0
IPI:IPI00001159.1,GCN1L1,Translational activator GCN1,24,26,31,6,3,22,4,0,21,2,68
IPI:IPI00001245.8,CNTNAP3;LOC727745;LOC389725,Isoform 1 of Contactin-associated protein-like 3,1,0,0,0,0,0,0,0,0,3,0
IPI:IPI00001317.1,RHOBTB1,Rho-related BTB domain-containing protein 1,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00001382.2,TAP2,"transporter 2, ATP-binding cassette, sub-family B isoform 2",6,58,35,4,24,32,22,4,32,29,28
IPI:IPI00001423.1,KLHL7,Putative uncharacterized protein SBBI26,1,2,1,0,0,3,0,0,3,0,0
IPI:IPI00001458.1,KNTC1,Kinetochore-associated protein 1,18,102,72,4,30,65,11,0,65,18,0
IPI:IPI00001477.1,DDR1,Isoform 1 of Epithelial discoidin domain-containing receptor 1,2,50,29,7,37,27,7,0,46,26,0
IPI:IPI00001516.1,PCDHAC1;PCDHAC2,Isoform Long of Protocadherin alpha-C2,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00001541.1,TIMM9,Mitochondrial import inner membrane translocase subunit Tim9,1,0,0,0,0,0,0,0,0,0,8
IPI:IPI00001543.1,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,1,0,0,0,0,0,0,0,0,0,9
IPI:IPI00001546.1,TIMM8B,Mitochondrial import inner membrane translocase subunit Tim8 B,2,7,11,0,7,5,4,4,6,2,38
IPI:IPI00001562.1,PCYT1B,Isoform 2 of Choline-phosphate cytidylyltransferase B,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00001564.1,CDKN2C,Cyclin-dependent kinase 4 inhibitor C,1,0,0,0,0,0,0,0,0,0,1
IPI:IPI00001576.3,ZBED2,"zinc finger, BED domain containing 2",1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00001583.3,C7orf68,Hypoxia-inducible gene 2 protein,1,1,4,0,0,0,0,3,0,0,0
IPI:IPI00001589.1,TIMM13,Mitochondrial import inner membrane translocase subunit Tim13,2,0,0,0,0,0,0,0,0,0,7
IPI:IPI00001593.1,PRCP,Lysosomal Pro-X carboxypeptidase,2,8,11,0,0,13,0,0,8,2,0
IPI:IPI00001616.3,SLC35F2,Putative uncharacterized protein SLC35F2 (Fragment),1,0,0,0,0,0,3,0,0,0,0
IPI:IPI00001636.1,ATXN10,Ataxin-10,7,144,127,2,141,175,83,250,120,41,14
IPI:IPI00001638.1,PRELID1,"PRELI domain-containing protein 1, mitochondrial",2,22,11,0,5,9,4,0,12,8,0
IPI:IPI00001639.2,KPNB1,Importin subunit beta-1,10,54,63,2,40,79,18,31,58,23,24
IPI:IPI00001641.3,ORC6L,Origin recognition complex subunit 6,1,0,0,0,0,0,4,0,3,0,0
IPI:IPI00001654.5,PCM1,Isoform 3 of Pericentriolar material 1 protein,37,326,242,15,189,237,95,230,293,89,0
IPI:IPI00001655.1,C16orf80,UPF0468 protein C16orf80,1,6,0,0,0,3,7,1,1,0,0
IPI:IPI00001661.3,RCC1,regulator of chromosome condensation 1 isoform a,3,4,4,1,2,7,0,0,2,0,0
IPI:IPI00001663.1,HTRA2,"Isoform 1 of Serine protease HTRA2, mitochondrial",1,5,0,0,0,0,0,0,0,0,0
IPI:IPI00001676.9,NPLOC4,Isoform 2 of Nuclear protein localization protein 4 homolog,8,92,72,22,40,71,54,33,80,43,8
IPI:IPI00001690.2,CUL7,Cullin-7,4,8,1,0,0,3,4,0,1,0,0
IPI:IPI00001710.3,C11orf2,Isoform 1 of Protein fat-free homolog,1,0,2,0,0,0,0,0,0,0,0
IPI:IPI00001722.1,NTHL1,Endonuclease III-like protein 1,1,0,0,0,0,2,0,0,1,0,0
IPI:IPI00001727.2,STIM2,stromal interaction molecule 2,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00001734.3,C8orf62,Phosphoserine aminotransferase,9,102,70,3,111,97,15,75,73,6,3
IPI:IPI00001738.4,NUP88,Nuclear pore complex protein Nup88,14,51,40,2,13,29,7,0,29,26,0
IPI:IPI00001754.1,F11R,Junctional adhesion molecule A,2,42,18,0,45,26,7,41,20,9,0
IPI:IPI00001758.7,ODF2,"Outer dense fiber of sperm tails 2, isoform CRA_e",1,7,7,2,0,4,0,0,5,0,0
IPI:IPI00001780.1,USP16,Isoform 1 of Ubiquitin carboxyl-terminal hydrolase 16,3,1,1,0,0,6,4,0,3,0,0
IPI:IPI00001786.5,USP36,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 36,1,3,9,3,2,7,5,6,7,0,7
IPI:IPI00001881.3,SNX10,"Sorting nexin 10, isoform CRA_a",1,1,1,0,0,0,0,0,3,0,0
IPI:IPI00001883.1,SNX9,Sorting nexin-9,11,56,56,0,6,45,10,6,50,15,0
IPI:IPI00001885.1,SNX8,Sorting nexin-8,1,9,5,0,1,9,2,0,5,0,0
IPI:IPI00001891.1,AUP1,Isoform Long of Ancient ubiquitous protein 1,5,189,140,15,109,121,65,69,138,122,110
IPI:IPI00001922.1,ST14,Suppressor of tumorigenicity protein 14,4,50,42,0,46,52,18,58,56,16,0
IPI:IPI00001952.5,ENDOD1,Endonuclease domain-containing 1 protein,1,0,0,1,0,2,0,0,0,0,0
IPI:IPI00001999.2,OIP5,Protein Mis18-beta,1,11,7,0,1,9,5,0,6,3,0
IPI:IPI00002061.3,BTBD7,Isoform 1 of BTB/POZ domain-containing protein 7,1,6,10,0,0,6,0,0,3,0,0
IPI:IPI00002089.4,CDC25B,Cdc25B phosphatase,3,28,34,6,21,21,6,0,13,11,0
IPI:IPI00002135.1,TACC3,Transforming acidic coiled-coil-containing protein 3,4,24,36,2,15,35,9,43,28,2,0
IPI:IPI00002150.4,AP4B1,AP-4 complex subunit beta-1,4,11,7,0,2,8,2,0,3,4,3
IPI:IPI00002203.6,BCCIP,Isoform 1 of BRCA2 and CDKN1A-interacting protein,2,8,6,0,4,4,2,0,4,0,1
IPI:IPI00002214.1,KPNA2;LOC728860,Importin subunit alpha-2,7,41,25,3,9,69,19,25,44,29,0
IPI:IPI00002232.2,TAOK1,Isoform 1 of Serine/threonine-protein kinase TAO1,1,3,0,0,0,0,0,3,3,0,0
IPI:IPI00002240.1,FAM118B,Protein FAM118B,1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00002249.2,KLHL9,Kelch-like protein 9,2,2,0,0,0,0,0,0,0,0,0
IPI:IPI00002255.4,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,9,22,29,1,5,45,9,35,28,0,9
IPI:IPI00002270.3,C6orf211,UPF0364 protein C6orf211,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00002313.3,CARD10,Caspase recruitment domain-containing protein 10,1,2,4,0,2,4,4,17,11,1,0
IPI:IPI00002324.6,MAT2B,Isoform 1 of Methionine adenosyltransferase 2 subunit beta,1,0,0,0,0,0,2,17,6,0,0
IPI:IPI00002330.2,USP3,Ubiquitin carboxyl-terminal hydrolase 3,3,30,27,1,11,26,10,19,29,14,0
IPI:IPI00002349.2,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00002370.2,CYP4F3,Leukotriene-B(4) omega-hydroxylase 2,2,0,0,1,0,3,2,0,0,1,0
IPI:IPI00002372.1,ABCD3,Isoform 1 of ATP-binding cassette sub-family D member 3,11,69,48,6,22,32,32,11,35,21,2
IPI:IPI00002398.7,KLHL13,Isoform 5 of Kelch-like protein 13,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00002411.3,IKBKG,NF-kappa-B essential modulator,2,8,13,0,4,13,2,4,11,0,10
IPI:IPI00002412.1,PPT1,Palmitoyl-protein thioesterase 1,2,9,8,1,2,6,2,0,3,2,0
IPI:IPI00002441.2,SDC1,Syndecan-1,2,5,8,0,0,8,0,15,7,0,4
IPI:IPI00002458.3,OGFOD2,Isoform 1 of 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,1,2,1,0,0,1,0,0,1,0,0
IPI:IPI00002459.4,ANXA6,annexin VI isoform 2,7,21,9,0,12,12,6,11,5,7,7
IPI:IPI00002460.3,ANXA7,Putative uncharacterized protein ANXA7,3,28,18,3,23,27,7,13,20,14,0
IPI:IPI00002478.1,ECE1,Isoform B of Endothelin-converting enzyme 1,5,14,12,5,0,18,0,0,15,12,0
IPI:IPI00002483.4,SLC30A1,Zinc transporter 1,1,4,1,0,4,20,4,43,8,0,0
IPI:IPI00002495.1,EPN1,Isoform 1 of Epsin-1,7,58,59,5,40,62,34,86,73,13,15
IPI:IPI00002502.1,ATF3,Isoform 1 of Cyclic AMP-dependent transcription factor ATF-3,1,0,0,0,0,0,3,0,0,0,0
IPI:IPI00002503.2,ATF4C;ATF4,Cyclic AMP-dependent transcription factor ATF-4,5,87,79,3,38,50,23,0,54,95,0
IPI:IPI00002506.1,ALG5,Dolichyl-phosphate beta-glucosyltransferase,3,2,1,0,0,3,0,0,0,0,0
IPI:IPI00002511.2,ATF6,Cyclic AMP-dependent transcription factor ATF-6 alpha,4,45,45,3,6,47,3,0,41,22,0
IPI:IPI00002519.1,SHMT1,"Isoform 1 of Serine hydroxymethyltransferase, cytosolic",5,66,44,7,24,52,17,0,53,69,0
IPI:IPI00002520.1,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",6,30,23,0,6,15,4,0,23,2,0
IPI:IPI00002526.2,DSE,"cDNA FLJ56258, highly similar to Squamous cell carcinoma antigen recognized by T-cells 2",3,8,2,1,4,6,0,0,3,0,0
IPI:IPI00002536.1,SESN1,Isoform T2 of Sestrin-1,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00002540.2,CRY1,Cryptochrome-1,2,2,0,0,0,8,0,0,0,0,0
IPI:IPI00002549.1,ANAPC2,Isoform 1 of Anaphase-promoting complex subunit 2,1,9,7,2,4,12,1,2,7,0,0
IPI:IPI00002552.2,AP1M2,Isoform 1 of AP-1 complex subunit mu-2,15,195,142,14,75,123,36,13,149,59,0
IPI:IPI00002557.1,COPG2,Coatomer subunit gamma-2,1,0,0,0,0,2,0,0,4,0,0
IPI:IPI00002579.4,KDM5B,190 kDa protein,7,4,0,0,0,5,0,0,2,1,0
IPI:IPI00002580.2,PIK3C2A,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide,15,44,40,5,7,37,2,0,29,30,0
IPI:IPI00002596.6,MTMR8,Isoform 2 of Myotubularin-related protein 8,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00002624.1,PLRG1,Isoform 1 of Pleiotropic regulator 1,13,89,90,4,92,79,40,14,58,46,1
IPI:IPI00002646.1,UXT,Protein UXT,4,22,25,1,4,12,5,5,15,11,0
IPI:IPI00002647.2,WASF4,Wiskott-Aldrich syndrome protein family member 4,1,1,0,0,0,1,0,0,0,0,0
IPI:IPI00002657.1,CPNE7,Isoform 1 of Copine-7,2,9,4,2,3,9,4,0,8,5,0
IPI:IPI00002666.3,POU2F2,"POU domain, class 2, transcription factor 2 (Octamer-binding transcription factor 2) (Oct-2) (OTF-2) (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2). Isoform 3",1,0,0,0,0,0,0,0,2,0,0
IPI:IPI00002773.4,JAK3,Isoform 2 of Tyrosine-protein kinase JAK3,3,1,1,0,0,1,0,0,1,0,3
IPI:IPI00002804.1,PKN2,Serine/threonine-protein kinase N2,1,0,1,0,0,5,0,0,0,0,0
IPI:IPI00002853.1,PPP2R5E,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,1,0,0,1,0,0,3,0,0,0,0
IPI:IPI00002884.4,C17orf101,Isoform 1 of PKHD domain-containing transmembrane protein C17orf101,1,1,1,1,0,2,0,0,1,0,0
IPI:IPI00002894.2,POLD1,DNA polymerase delta catalytic subunit,13,52,60,3,18,62,12,6,48,22,19
IPI:IPI00002895.1,SUPT4H1,Transcription elongation factor SPT4,1,1,0,0,0,0,0,0,1,0,0
IPI:IPI00002902.5,NOL9,Nucleolar protein 9,4,10,6,0,0,15,2,0,7,0,0
IPI:IPI00002922.5,TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1,2,44,27,2,26,32,6,18,29,22,0
IPI:IPI00002926.4,VPS37B,Vacuolar protein sorting-associated protein 37B,3,6,1,0,0,23,10,0,7,16,1
IPI:IPI00002939.3,MSX1,msh homeobox 1,1,0,0,0,0,0,0,0,4,3,0
IPI:IPI00002946.2,GJC1,Gap junction gamma-1 protein,2,0,0,0,0,0,0,2,0,1,0
IPI:IPI00002966.2,HSPA4,Heat shock 70 kDa protein 4,18,87,53,1,53,112,30,141,59,3,2
IPI:IPI00002970.1,SGCB,Beta-sarcoglycan,7,36,32,4,1,41,4,0,29,11,0
IPI:IPI00003021.1,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2,8,116,84,25,60,87,28,77,116,91,12
IPI:IPI00003031.3,ISOC2,"Isoform 2 of Isochorismatase domain-containing protein 2, mitochondrial",1,7,13,0,3,6,0,0,6,4,0
IPI:IPI00003033.3,ELMO3,Isoform 1 of Engulfment and cell motility protein 3,2,5,1,1,5,2,0,0,3,3,0
IPI:IPI00003084.1,DRAP1,Isoform 1 of Dr1-associated corepressor,2,1,0,0,3,4,0,0,3,0,0
IPI:IPI00003128.1,P4HA2,Isoform IIb of Prolyl 4-hydroxylase subunit alpha-2,7,30,32,4,7,34,19,0,24,21,4
IPI:IPI00003145.1,MAPK8,Isoform 1 of Mitogen-activated protein kinase 8,1,0,0,0,0,3,0,0,0,0,0
IPI:IPI00003168.1,PRPSAP2,Phosphoribosyl pyrophosphate synthetase-associated protein 2,2,1,1,0,0,0,0,0,0,0,0
IPI:IPI00003217.3,PSMB7,Proteasome subunit beta type-7,7,50,28,2,11,31,6,2,33,6,24
IPI:IPI00003269.1,ACTBL2,Beta-actin-like protein 2,3,47,38,10,62,32,18,21,42,39,101
IPI:IPI00003309.4,POLR2H,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",1,8,8,0,0,6,4,0,4,3,0
IPI:IPI00003310.2,POLR2J,RPB11a protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00003311.1,POLR2L,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00003318.1,ZNHIT2,Zinc finger HIT domain-containing protein 2,2,0,0,0,0,5,1,0,0,0,0
IPI:IPI00003326.4,ARL2,ADP-ribosylation factor-like protein 2,1,7,0,0,0,2,0,8,4,0,0
IPI:IPI00003327.1,ARL3,ADP-ribosylation factor-like protein 3,1,2,0,0,0,2,2,0,0,0,0
IPI:IPI00003348.3,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,3,0,0,0,0,0,0,0,0,0,18
IPI:IPI00003362.2,HSPA5,HSPA5 protein,19,200,168,10,95,203,68,7,162,106,10
IPI:IPI00003373.1,OCLN,Occludin,5,146,98,9,134,106,76,268,156,35,0
IPI:IPI00003377.1,SFRS7,"Isoform 1 of Splicing factor, arginine/serine-rich 7",1,13,7,0,2,14,6,19,7,0,0
IPI:IPI00003394.1,SMN2;SMN1,Isoform SMN of Survival motor neuron protein,1,8,7,0,0,6,8,0,5,0,0
IPI:IPI00003406.4,DBN1,Isoform 1 of Drebrin,1,0,0,0,0,0,0,0,0,0,2
IPI:IPI00003419.1,C11orf58,Small acidic protein,2,32,14,0,42,27,17,11,9,5,0
IPI:IPI00003425.5,PDK4,"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4, mitochondrial",2,4,11,0,0,4,2,0,4,0,0
IPI:IPI00003431.1,MAPK6,Mitogen-activated protein kinase 6,10,52,43,9,43,35,3,8,51,25,0
IPI:IPI00003442.3,HIF1A,Isoform 1 of Hypoxia-inducible factor 1 alpha,12,161,181,24,151,121,29,11,112,171,0
IPI:IPI00003443.3,IFI16,Isoform 1 of Gamma-interferon-inducible protein Ifi-16,6,0,0,0,0,0,0,0,0,0,11
IPI:IPI00003455.3,TMEM48,Isoform 4 of Nucleoporin NDC1,2,4,10,0,1,11,0,8,13,0,0
IPI:IPI00003478.2,DUSP5,Dual specificity protein phosphatase 5,2,3,1,0,0,0,0,0,0,1,0
IPI:IPI00003479.3,MAPK1,Mitogen-activated protein kinase 1,3,2,0,0,0,3,0,0,2,3,0
IPI:IPI00003494.1,PTTG1,Securin,4,0,0,0,3,0,3,0,3,18,0
IPI:IPI00003505.3,TRIP13,Isoform 1 of Thyroid receptor-interacting protein 13,2,12,20,1,2,10,4,0,13,2,0
IPI:IPI00003515.1,TRIP11,Thyroid receptor-interacting protein 11,3,1,0,0,0,0,2,0,0,0,0
IPI:IPI00003519.1,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component,10,11,8,0,1,19,12,8,15,2,3
IPI:IPI00003527.5,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,2,52,31,0,42,39,6,33,35,10,0
IPI:IPI00003565.1,PSMD10,26S proteasome non-ATPase regulatory subunit 10,2,56,38,1,70,47,26,57,53,18,0
IPI:IPI00003588.1,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,3,8,5,1,2,5,3,0,3,0,0
IPI:IPI00003590.2,QSOX1,Isoform 1 of Sulfhydryl oxidase 1,2,4,9,0,0,4,0,0,4,0,0
IPI:IPI00003606.3,RNF14,E3 ubiquitin-protein ligase RNF14,2,1,1,0,0,1,2,0,1,0,0
IPI:IPI00003627.1,ACTL6A,Isoform 1 of Actin-like protein 6A,6,85,52,15,31,53,8,1,49,15,0
IPI:IPI00003635.4,ERGIC1,"cDNA FLJ56280, highly similar to Endoplasmic reticulum-Golgi intermediate compartment protein 1",2,5,5,2,0,5,0,0,5,0,0
IPI:IPI00003648.2,PVRL1,Isoform Delta of Poliovirus receptor-related protein 1,2,2,0,0,0,0,0,2,2,0,0
IPI:IPI00003765.1,CAPN7,Calpain-7,6,58,39,2,6,19,3,0,27,7,0
IPI:IPI00003766.4,ETHE1,"Protein ETHE1, mitochondrial",1,0,6,2,0,0,2,0,0,0,0
IPI:IPI00003768.1,PES1,Isoform 1 of Pescadillo homolog,4,3,0,0,0,3,5,0,0,0,3
IPI:IPI00003774.1,TGDS,"dTDP-D-glucose 4,6-dehydratase",3,32,27,1,4,32,3,0,19,5,0
IPI:IPI00003783.1,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,6,45,32,6,6,22,6,0,28,3,14
IPI:IPI00003789.3,NAT9,Isoform 1 of N-acetyltransferase 9,2,12,15,0,1,11,5,0,16,5,0
IPI:IPI00003798.2,ZNF282,Zinc finger protein 282,1,8,10,0,0,4,2,0,8,2,0
IPI:IPI00003815.3,ARHGDIA,Rho GDP-dissociation inhibitor 1,2,2,0,0,0,9,2,11,6,0,0
IPI:IPI00003819.4,SLC7A2,Isoform 1 of Low affinity cationic amino acid transporter 2,4,45,33,5,20,43,11,97,51,27,0
IPI:IPI00003831.4,ATP2B3,Isoform XB of Plasma membrane calcium-transporting ATPase 3,3,85,72,0,64,68,18,58,55,4,0
IPI:IPI00003833.3,MTCH2,Mitochondrial carrier homolog 2,3,40,36,15,5,15,3,0,21,20,1
IPI:IPI00003843.2,TJP2,"cDNA FLJ53324, highly similar to Tight junction protein ZO-2",1,0,0,0,0,0,0,1,1,0,0
IPI:IPI00003848.1,DNAJB4,DnaJ homolog subfamily B member 4,1,9,1,1,1,3,18,0,4,6,0
IPI:IPI00003856.1,ATP6V1E1,V-type proton ATPase subunit E 1,2,6,3,0,0,5,0,0,2,0,0
IPI:IPI00003865.1,HSPA8,Isoform 1 of Heat shock cognate 71 kDa protein,38,1021,791,56,897,900,407,795,740,258,148
IPI:IPI00003870.1,CLPP,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial",1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00003881.5,HNRNPF,Heterogeneous nuclear ribonucleoprotein F,6,33,29,0,56,37,33,44,31,33,41
IPI:IPI00003886.3,GNL3,Isoform 2 of Guanine nucleotide-binding protein-like 3,3,1,1,0,0,1,0,0,1,0,4
IPI:IPI00003918.6,RPL4,60S ribosomal protein L4,18,130,77,14,142,147,23,100,92,9,10
IPI:IPI00003919.1,QPCT,Glutaminyl-peptide cyclotransferase,2,0,0,0,0,0,0,0,0,0,6
IPI:IPI00003923.1,UMPS,Isoform 1 of Uridine 5'-monophosphate synthase,8,9,1,0,0,10,0,0,9,0,7
IPI:IPI00003927.5,PPID,40 kDa peptidyl-prolyl cis-trans isomerase,3,0,0,0,0,0,0,0,0,0,5
IPI:IPI00003928.1,DUSP1,Dual specificity protein phosphatase 1,2,31,24,8,17,18,3,0,24,18,0
IPI:IPI00003935.6,HIST2H2BE,Histone H2B type 2-E,5,156,140,10,139,134,54,116,130,13,428
IPI:IPI00003949.1,UBE2N,Ubiquitin-conjugating enzyme E2 N,6,86,81,8,127,105,24,83,72,18,237
